country;region;population;area;median_age;perc_urban_pop;world_share
Afghanistan;ASIA (EX. NEAR EAST);39074280;652860;18;25%;0,50%
Albania;EASTERN EUROPE;2877239;27400;36;63%;0,04%
Algeria;NORTHERN AFRICA;43984569;2381740;29;73%;0,56%
American Samoa;OCEANIA;55169;200;N.A.;88%;0,00%
Andorra;WESTERN EUROPE;77287;470;N.A.;88%;0,00%
Angola;SUB-SAHARAN AFRICA;33032075;1246700;17;67%;0,42%
Anguilla;LATIN AMER. & CARIB;15026;90;N.A.;N.A.;0,00%
Antigua and Barbuda;LATIN AMER. & CARIB;98069;440;34;26%;0,00%
Argentina;LATIN AMER. & CARIB;45267449;2736690;32;93%;0,58%
Armenia;C.W. OF IND. STATES;2964219;28470;35;63%;0,04%
Aruba;LATIN AMER. & CARIB;106845;180;41;44%;0,00%
Australia;OCEANIA;25550683;7682300;38;86%;0,33%
Austria;WESTERN EUROPE;9015361;82409;43;57%;0,12%
Azerbaijan;C.W. OF IND. STATES;10154978;82658;32;56%;0,13%
Bahamas;LATIN AMER. & CARIB;393893;10010;32;86%;0,01%
Bahrain;NEAR EAST;1711057;760;32;89%;0,02%
Bangladesh;ASIA (EX. NEAR EAST);164972348;130170;28;39%;2,11%
Barbados;LATIN AMER. & CARIB;287437;430;40;31%;0,00%
Belarus;C.W. OF IND. STATES;9448772;202910;40;79%;0,12%
Belgium;WESTERN EUROPE;11598451;30280;42;98%;0,15%
Belize;LATIN AMER. & CARIB;398845;22810;25;46%;0,01%
Benin;SUB-SAHARAN AFRICA;12175480;112760;19;48%;0,16%
Bermuda;NORTHERN AMERICA;62237;50;N.A.;97%;0,00%
Bhutan;ASIA (EX. NEAR EAST);773069;38117;28;46%;0,01%
Bolivia;LATIN AMER. & CARIB;11700207;1083300;26;69%;0,15%
Bosnia and Herzegovina;EASTERN EUROPE;3277152;51000;43;52%;0,04%
Botswana;SUB-SAHARAN AFRICA;2359585;566730;24;73%;0,03%
Brazil;LATIN AMER. & CARIB;212821986;8358140;33;88%;2,73%
British Virgin Islands;LATIN AMER. & CARIB;30266;150;N.A.;52%;0,00%
Brunei;ASIA (EX. NEAR EAST);438202;5270;32;80%;0,01%
Bulgaria;EASTERN EUROPE;6939018;108560;45;76%;0,09%
Burkina Faso;SUB-SAHARAN AFRICA;20997293;273600;18;31%;0,27%
Burundi;SUB-SAHARAN AFRICA;11948454;25680;17;14%;0,15%
